design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
BL101,58,Yard,1,4,36,55,,,,,,,,,34
BL102,58,Yard,1,4,36,55,,,,,,,,,34
BL103,58,Yard,1,4,36,55,,,,,,,,,34
BL104,58,Yard,1,4,36,55,,,,,,,,,34
BL105,58,Yard,1,4,36,55,,,,,,,,,34
BL106,58,Yard,1,4,36,55,,,,,,,,,34
BL107,58,Yard,1,4,36,55,,,,,,,,,34
BL108,58,Yard,1,4,36,55,,,,,,,,,34
BL109,58,Yard,1,4,36,55,,,,,,,,,34
BL110,871,Roll,1,3,36,12,,,,,,,,,7
BL111,871,Roll,1,3,36,12,,,,,,,,,7
BL112,871,Roll,1,3,36,12,,,,,,,,,7
BL113,871,Roll,1,3,36,12,,,,,,,,,7
BL114,544.44,Roll,1,1,36,8,,,,,,,,,7
BL115,544.44,Roll,1,1,36,8,,,,,,,,,7
BL116,544.44,Roll,1,1,36,8,,,,,,,,,7
BL117,544.44,Roll,1,1,36,8,,,,,,,,,7
BL118,544.44,Roll,1,1,36,8,,,,,,,,,7
BL119,544.44,Roll,1,1,36,8,,,,,,,,,7
BL120,544.44,Roll,1,1,36,8,,,,,,,,,7
BL121,544.44,Roll,1,1,36,8,,,,,,,,,7
BL122,544.44,Roll,1,1,36,8,,,,,,,,,7
BL123,544.44,Roll,1,1,36,8,,,,,,,,,7
BL124,544.44,Roll,1,1,36,8,,,,,,,,,7
BL125,544.44,Roll,1,1,36,8,,,,,,,,,7
BL126,544.44,Roll,1,1,36,8,,,,,,,,,7
BL127,514.8,Roll,1,1,24,8,,,,,,,,,4
BL128,514.8,Roll,1,1,24,8,,,,,,,,,4
BL129,514.8,Roll,1,1,24,8,,,,,,,,,4
BL130,514.8,Roll,1,1,24,8,,,,,,,,,4
BL131,514.8,Roll,1,1,24,8,,,,,,,,,4
