name,description,keywords,categories,dimensions,availability,images
3M Vinyl Adhesive,"Adhesive-backed, permanent.",,,"54"" wide",,https://s3.amazonaws.com/astek/material-images/3M_Vinyl_Adhesive.jpg
Acoustical,,,Rolled,"54"" wide",,http://www.astekwallcovering.com/sites/default/files/material-images/Acoustical_web.jpg
Acrylic,Please call for details.,,,Various sizes available,,https://s3.amazonaws.com/astek/material-images/Acrylic_Plexiglass.jpg
Arlon High-Tack Adhesive,"Adhesive-backed, permanent.",,"Rolled, Self-adhesive","54"" wide",1-3 days,"http://www.astekwallcovering.com/sites/default/files/material-images/WhiteArlon_web.jpg, https://s3.amazonaws.com/astek/material-images/Arlon_High-Tack_Adhesive.jpg"
Artist Canvas,,,"Canvas, Rolled","62"", 96"", and 126"" wide",,"http://astek.s3.amazonaws.com/material-images/Artist-Canvas.jpg, http://astek.s3.amazonaws.com/material-images/Artists_Canvas_0.jpg"
Backlit Film,,,,"54"", 60"", and 85"" wide",,
Bali,,,Type II,"52"" wide",,http://www.astekwallcovering.com/sites/default/files/material-images/Bali_web.jpg
Banner,Great for outdoor applications.,,"Banner, Rolled","54"", 126"", and 192"" wide",,http://astek.s3.amazonaws.com/material-images/Banner8.jpg
Belfast,,,,,,
Black Mylar,Vinyl backed.,,"Mylars, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Black-Mylar.jpg, http://astek.s3.amazonaws.com/material-images/Black_Mylar8.jpg"
Brushed Copper Mylar,,,"Mylars, Rolled, Type II","54"" wide",1-3 days,http://astek.s3.amazonaws.com/material-images/Brushed-Copper-Mylar.jpg
Calabria,,,"Rolled, Type II, Vinyl","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/Calabria_web.jpg
Clear Adhesive,Optically clear.,,,"61"" wide",,
Clear Static Cling,"This printing technique, color-white-color, enables this image to be visible from both sides.",,,"54"" wide",,
"E-Panel Brushed Silver 1/8""",,,,"4"" x 8"", 1/8"" thick",,
Eco Canvas,PVC-free.,,"Canvas, LEEDS Qualified, Rolled","54"" and 122"" wide",,"http://astek.s3.amazonaws.com/material-images/Eco-Canvas.jpg, http://astek.s3.amazonaws.com/material-images/Eco_Canvas8_0.jpg"
Eco-Kalahari,PVC-free. NFPA 101 Life Safety Code: NFPA 255 Class A CANS102M Tunnel Test Class A NFPA 286 Corner Burn Test Class compliant to criteria of NFPA101 section 10.2.3.5.3,,"Canvas, LEEDS Qualified, Rolled, Textured, Type II","54"" wide, 0.018-0.026"" thick",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/eco-kalahari.jpg
Fabric Adhesive,"Adhesive-backed, removable.",,"Rolled, Self-Adhesive","60"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/FabricAdhesive_web.jpg
Fiji,,,"Rolled, Type II","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/Fiji_web.jpg
Florence,,,,,,
Gobi,,,Type II,"54"" wide",,
Gold Canvas,,,Rolled,"61"" and 122"" wide",,http://www.astekwallcovering.com/sites/default/files/material-images/GoldCanvas1_web.jpg
Gold Mylar,Vinyl backed.,,"Metallics, Mylars, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Gold-Mylar.jpg, http://astek.s3.amazonaws.com/material-images/Gold_Mylar8.jpg"
Juneau,,,,,,
Linen,,,"Canvas, Rolled","36"" wide",,http://astek.s3.amazonaws.com/material-images/Linen_0.jpg
Los Feliz,,,"Rolled, Type II","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/LosFeliz_web.jpg
Matte Vinyl,,,"Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Matte-Vinyl.jpg, http://astek.s3.amazonaws.com/material-images/Matte_Vinyl.jpg"
Monterey,,,"Canvas, Rolled, Type II","54"" wide",,http://astek.s3.amazonaws.com/material-images/Montery.JPG
Palermo,,,"Rolled, Type II, Vinyl","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/Palermo_web.jpg
Palisades,,,"Rolled, Textured, Type II, Vinyl","54"" wide",1-2 days,http://astek.s3.amazonaws.com/material-images/Palisades_0.JPG
Paper,PVC-free.,,Rolled,"54"" wide",,http://astek.s3.amazonaws.com/material-images/Paper_0.jpg
Pearl Canvas,,,"Canvas, Rolled","61"" and 122"" wide",,http://astek.s3.amazonaws.com/material-images/Pearl_Canvas.jpg
Pebble Textured Window Film,,,"Rolled, Self-Adhesive","48"" wide",,http://astek.s3.amazonaws.com/material-images/Pebble_Textured_Decorative_Film.jpg
Poly Edge UV,Visual Magnetics.,,Rolled,"54""",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/PolyEdgeUV_web.jpg
Sandstone,Type II Commercial Grade Vinyl. A subtle texture remesicent of sandstone. Prints appear vibrant while the texture is pronounced.,,"Rolled, Textured, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Sandstone.JPG, http://astek.s3.amazonaws.com/material-images/Sandstone_0.jpg"
Sierra,,,"Rolled, Type II, Vinyl","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/Sierra_web.jpg
Silver Canvas,,,"Canvas, Metallics, Rolled","61"" and 122"" wide",,"http://astek.s3.amazonaws.com/material-images/Silver-Canvas.jpg, http://astek.s3.amazonaws.com/material-images/Silver_Canvas.jpg"
Silver Dazzle,Faux glassbead.,,"Metallics, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Silver-Dazzle.jpg, http://astek.s3.amazonaws.com/material-images/Silver_Dazzle.jpg"
Silver Gecko,,,"Metallics, Mylars, Rolled, Textured, Type II","54"" wide",1-3 days,http://astek.s3.amazonaws.com/material-images/Silver-Gecko.jpg
Silver Mylar,Vinyl backed.,,"Metallics, Mylars, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/silver-mylar.jpg, http://astek.s3.amazonaws.com/material-images/Silver_Mylar.jpg"
Silver Spectre,,,"Metallics, Mylars, Rolled, Type II","54"" wide",,http://astek.s3.amazonaws.com/material-images/Silver-Spectre.jpg
Silver Weave,,,"Metallics, Rolled, Type II","54"" wide",,http://astek.s3.amazonaws.com/material-images/Silver-Weave.jpg
Smooth Topeka,Type II Commerical strength. Eco-friendly. 31% post consumer recycled content. PVC Free. Earn LEED credits.,,"Canvas, LEEDS Qualified, Rolled, Type II","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/TopekaSmooth2_web.jpg
Sonora,,,"Canvas, Rolled, Textured, Type II","54"" wide",,http://www.astekwallcovering.com/sites/default/files/material-images/sonora.JPG
Sparkle,,,"Rolled, Type II, Vinyl","54"" wide",1-3 days,http://www.astekwallcovering.com/sites/default/files/material-images/Sparkle_web.jpg
Spectre,,,"Rolled, Type II","54"" wide",,http://astek.s3.amazonaws.com/material-images/Spectre_0.JPG
Topeka,Type II Commerical strength. Eco-friendly. 31% post consumer recycled content. PVC Free. Earn LEED credits.,,"Canvas, LEEDS Qualified, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/Topeka.JPG, http://astek.s3.amazonaws.com/material-images/Topeka_1_0.jpg"
Touch of Gold,,,"Mylars, Rolled","29"" wide",,"http://astek.s3.amazonaws.com/material-images/Touch-of-Gold.jpg, http://astek.s3.amazonaws.com/material-images/Touch_of_Gold.jpg"
Vinyl Adhesive,"Adhesive-backed, removable.",,"Rolled, Self-Adhesive","54"" wide",,http://astek.s3.amazonaws.com/material-images/Vinyl_Adhesive_0.jpg
White Mylar,Vinyl backed.,,"Metallics, Rolled, Type II","54"" wide",,"http://astek.s3.amazonaws.com/material-images/White-Mylar.jpg, http://astek.s3.amazonaws.com/material-images/White_Mylar_0.jpg"
